zip_code,lat,lon,city,state,county,type,state_full
75759,32.035940,-95.418795,CUNEY,TX,CHEROKEE,PO BOX ONLY,Texas
75760,31.796248,-94.854341,CUSHING,TX,NACOGDOCHES,STANDARD,Texas
75762,32.218320,-95.413426,FLINT,TX,SMITH,STANDARD,Texas
75763,32.042753,-95.523385,FRANKSTON,TX,ANDERSON,STANDARD,Texas
75764,31.895426,-95.143722,GALLATIN,TX,CHEROKEE,PO BOX ONLY,Texas
75765,32.642044,-95.234858,HAWKINS,TX,WOOD,STANDARD,Texas
75766,31.944675,-95.256776,JACKSONVILLE,TX,CHEROKEE,STANDARD,Texas
75770,32.158556,-95.643713,LARUE,TX,HENDERSON,STANDARD,Texas
75771,32.537898,-95.435713,LINDALE,TX,SMITH,STANDARD,Texas
75772,31.849999,-95.320003,MAYDELLE,TX,CHEROKEE,PO BOX ONLY,Texas
75773,32.681455,-95.447700,MINEOLA,TX,WOOD,STANDARD,Texas
75778,32.300928,-95.709836,MURCHISON,TX,HENDERSON,STANDARD,Texas
75779,31.863225,-95.484610,NECHES,TX,ANDERSON,PO BOX ONLY,Texas
75780,31.991021,-95.091847,NEW SUMMERFIELD,TX,CHEROKEE,PO BOX ONLY,Texas
75782,32.069999,-95.590000,POYNOR,TX,HENDERSON,PO BOX ONLY,Texas
75783,32.816433,-95.424744,QUITMAN,TX,WOOD,STANDARD,Texas
75784,31.872135,-94.974156,REKLAW,TX,CHEROKEE,STANDARD,Texas
75785,31.775416,-95.196574,RUSK,TX,CHEROKEE,STANDARD,Texas
75788,31.825939,-94.925873,SACUL,TX,NACOGDOCHES,PO BOX ONLY,Texas
75789,32.109512,-95.094197,TROUP,TX,SMITH,STANDARD,Texas
75790,32.535169,-95.643979,VAN,TX,VAN ZANDT,STANDARD,Texas
75791,32.221578,-95.220644,WHITEHOUSE,TX,SMITH,STANDARD,Texas
75792,32.481969,-95.106675,WINONA,TX,SMITH,STANDARD,Texas
75797,32.579999,-95.110002,Big Sandy,TX,UPSHUR,UNIQUE,
75798,32.320001,-95.299997,TYLER,TX,SMITH,UNIQUE,Texas
75799,32.320001,-95.299997,TYLER,TX,SMITH,UNIQUE,Texas
75801,31.734462,-95.531206,PALESTINE,TX,ANDERSON,STANDARD,Texas
75802,31.750001,-95.639997,PALESTINE,TX,ANDERSON,STANDARD,Texas
75803,31.881776,-95.679496,PALESTINE,TX,ANDERSON,STANDARD,Texas
75831,31.473665,-96.009367,BUFFALO,TX,LEON,STANDARD,Texas
75832,31.932015,-95.980742,CAYUGA,TX,ANDERSON,PO BOX ONLY,Texas
75833,31.268633,-95.843906,CENTERVILLE,TX,LEON,STANDARD,Texas
75834,31.260000,-94.970003,CENTRALIA,TX,TRINITY,STANDARD,Texas
75835,31.284893,-95.490628,CROCKETT,TX,HOUSTON,STANDARD,Texas
75838,31.478901,-96.229757,DONIE,TX,FREESTONE,STANDARD,Texas
75839,31.606694,-95.583341,ELKHART,TX,ANDERSON,STANDARD,Texas
75840,31.782561,-96.093624,FAIRFIELD,TX,FREESTONE,STANDARD,Texas
75844,31.513800,-95.437619,GRAPELAND,TX,HOUSTON,STANDARD,Texas
75845,31.087456,-95.076848,GROVETON,TX,TRINITY,STANDARD,Texas
75846,31.328852,-96.152371,JEWETT,TX,LEON,STANDARD,Texas
75847,31.356210,-95.152895,KENNARD,TX,HOUSTON,STANDARD,Texas
75848,31.765239,-96.329921,KIRVIN,TX,FREESTONE,STANDARD,Texas
75849,31.417412,-95.481646,LATEXO,TX,HOUSTON,PO BOX ONLY,Texas
75850,31.135677,-95.935048,LEONA,TX,LEON,STANDARD,Texas
75851,31.092367,-95.499937,LOVELADY,TX,HOUSTON,STANDARD,Texas
75852,30.959519,-95.715512,MIDWAY,TX,MADISON,STANDARD,Texas
75853,31.946875,-95.814467,MONTALBA,TX,ANDERSON,STANDARD,Texas
75855,31.557332,-95.863638,OAKWOOD,TX,LEON,STANDARD,Texas
75856,31.188898,-95.255737,PENNINGTON,TX,TRINITY,STANDARD,Texas
75858,31.390774,-95.126654,RATCLIFF,TX,HOUSTON,PO BOX ONLY,Texas
75859,31.893077,-96.236901,STREETMAN,TX,FREESTONE,STANDARD,Texas
75860,31.611348,-96.238048,TEAGUE,TX,FREESTONE,STANDARD,Texas
75861,31.851580,-95.888459,TENNESSEE COLONY,TX,ANDERSON,STANDARD,Texas
75862,30.964727,-95.325897,TRINITY,TX,TRINITY,STANDARD,Texas
75865,30.989999,-95.030000,WOODLAKE,TX,TRINITY,PO BOX ONLY,Texas
75880,31.880000,-95.910001,TENNESSEE COLONY,TX,ANDERSON,UNIQUE,Texas
75882,31.750001,-95.639997,PALESTINE,TX,ANDERSON,UNIQUE,Texas
75884,31.880000,-95.910001,TENNESSEE COLONY,TX,ANDERSON,UNIQUE,Texas
75886,31.880000,-95.910001,TENNESSEE COLONY,TX,ANDERSON,UNIQUE,Texas
75901,31.301674,-94.641410,LUFKIN,TX,ANGELINA,STANDARD,Texas
75902,31.329999,-94.719998,LUFKIN,TX,ANGELINA,STANDARD,Texas
75903,31.329999,-94.719998,LUFKIN,TX,ANGELINA,STANDARD,Texas
75904,31.340746,-94.826228,LUFKIN,TX,ANGELINA,STANDARD,Texas
75915,31.329999,-94.719998,LUFKIN,TX,ANGELINA,STANDARD,Texas
75925,31.614856,-95.062491,ALTO,TX,CHEROKEE,STANDARD,Texas
75926,31.248085,-94.969102,APPLE SPRINGS,TX,TRINITY,STANDARD,Texas
75928,30.671395,-93.711343,BON WIER,TX,NEWTON,STANDARD,Texas
75929,31.245161,-94.175516,BROADDUS,TX,SAN AUGUSTINE,STANDARD,Texas
75930,31.318962,-94.032164,BRONSON,TX,SABINE,STANDARD,Texas
75931,31.113663,-94.021386,BROOKELAND,TX,SABINE,STANDARD,Texas
75932,31.056146,-93.615652,BURKEVILLE,TX,NEWTON,STANDARD,Texas
75933,30.553813,-93.812696,CALL,TX,NEWTON,STANDARD,Texas
75934,30.894879,-94.759080,CAMDEN,TX,POLK,PO BOX ONLY,Texas
75935,31.732512,-94.191287,CENTER,TX,SHELBY,STANDARD,Texas
75936,30.952075,-94.579624,CHESTER,TX,TYLER,STANDARD,Texas
75937,31.465322,-94.367314,CHIRENO,TX,NACOGDOCHES,STANDARD,Texas
75938,30.940518,-94.353640,COLMESNEIL,TX,TYLER,STANDARD,Texas
75939,31.013778,-94.797418,CORRIGAN,TX,POLK,STANDARD,Texas
75941,31.187071,-94.758800,DIBOLL,TX,ANGELINA,STANDARD,Texas
75942,30.815167,-94.430589,DOUCETTE,TX,TYLER,PO BOX ONLY,Texas
